words,weights
I,-0.024994620205127757
m,-0.015718206688356162
just,-0.02202758617990243
tired,0.06493118381230269
Not,0.15384615384615385
physically,0.15384615384615385
but,0.02776654772047734
emotionally,0.15384615384615385
exhausted,0.06072874493927125
Most,0.012873262616811895
of,-0.014327485096920223
us,0.055401662049861494
hide,0.05263157894736842
our,0.055401662049861494
feelings,0.06379585326953748
and,-0.019463947071212944
won,0.05263157894736842
t,-0.023835903121166367
ever,-0.018213637542131192
say,0.02906622464524875
anything,0.03154479565893826
We,0.05263157894736842
try,0.05263157894736842
to,-0.02493910030819304
sleep,0.42105263157894735
because,0.08182282144966822
those,0.06298791962605475
are,-0.02269005086959633
the,-0.02190170653389123
only,-0.01919564696662268
couple,0.05263157894736842
hours,0.05263157894736842
minds,0.05263157894736842
get,0.02775002103095807
rest,0.04053236539624925
before,0.05263157894736842
we,-0.012753363992505535
end,0.15037593984962405
up,0.013076168682576005
again,0.05263157894736842
fighting,0.05263157894736842
demons,0.05263157894736842
inside,0.05263157894736842
always,-0.017488305577143485
hid,0.06060606060606061
all,-0.015263166112948263
my,-0.01763484447197471
from,0.06060606060606061
anyone,0.1414141414141414
everyone,0.06060606060606061
so,-0.019921431581046527
told,-0.01582759815273993
them,0.012578617495885019
was,-0.010355022336863282
fine,0.06060606060606061
being,0.029664821602282686
meant,0.06060606060606061
life,-0.0145600899483452
constant,0.06060606060606061
symptoms,0.06060606060606061
mental,0.05892255892255892
illness,0.06060606060606061
myself,0.06801346801346801
want,0.034325692680998686
be,0.20637875354850446
done,0.004385964912280701
That,0.06209150326797386
s,0.028157776415328392
a,-0.017589503025419742
common,0.05555555555555555
one,-0.015328143710516318
mine,0.05555555555555555
Or,0.05555555555555555
would,-0.020159096977287325
will,0.03843843843843844
make,-0.017620761097261385
jokes,0.08796296296296297
saying,0.06227305737109659
something,0.23031077054065563
like,-0.018072600204617408
Oh,0.23456790123456792
look,-0.010802469135802469
cliff,0.05555555555555555
ll,0.216712580348944
right,0.004737295434969854
back,-0.012303970637303971
Things,0.05555555555555555
that,-0.01714685627958039
an,-0.018766353324515855
uncomfortable,0.05555555555555555
chuckle,0.05555555555555555
in,-0.015715308323972336
response,0.05555555555555555
though,0.05555555555555555
This,-0.01723874904652937
gets,0.08695652173913043
understood,0.08695652173913043
as,-0.007953340402969248
wanting,0.08695652173913043
how,-0.011581260042305136
feeling,0.039309112567004166
at,-0.021816253164956206
point,0.08695652173913043
over,0.05720823798627002
when,-0.012595558899858946
actually,0.08695652173913043
talking,0.012590093981210467
about,-0.013551652846852799
itself,0.08695652173913043
Innocent,0.18181818181818182
enough,-0.0070472163495419295
deep,0.18181818181818182
down,0.03237858032378581
it,-0.014324003696191526
cry,0.029301882645960006
for,-0.024479246096145
help,0.029301882645960006
can,-0.013002199528880027
keep,0.3333333333333333
doing,0.3333333333333333
this,-0.013893697856895324
They,0.013377926421404682
think,0.03212351488213557
mean,0.15384615384615383
whatever,0.07692307692307693
stressor,0.07692307692307693
dealing,0.035203831989904975
with,-0.0138864397927705
they,0.08336075677779362
don,0.027894358472925915
realize,-0.005408653846153846
feel,-0.01431191832324342
do,-0.01527179839339549
any,0.05128205128205128
more,0.03263403263403263
alone,0.06343713956170703
When,-0.011860491322965967
share,0.058823529411764705
closest,0.058823529411764705
me,-0.024326734209124155
statement,0.058823529411764705
is,-0.017589938146187523
huge,0.058823529411764705
literally,0.028013815032070608
never,-0.018436953861736396
go,-0.02117573931768509
home,0.1927379261364063
used,-0.013731060606060606
Life,0.030303030303030304
felt,0.03124913042268414
meaningless,0.030303030303030304
hard,0.039359108324625566
nowhere,0.031221303948576674
familiar,0.030303030303030304
The,-0.021928562629782142
idea,0.031221303948576674
going,-0.006865530303030303
or,0.08785623378924813
unattainable,0.12878787878787878
became,0.030303030303030304
couldn,0.030303030303030304
reach,0.030303030303030304
most,-0.0259018759018759
distressing,0.030303030303030304
moments,-0.014173998044965786
wanted,-0.012104953469286634
nothing,0.030303030303030304
than,0.019284164460135336
cease,0.030303030303030304
exist,0.030303030303030304
Like,0.125
thing,0.08653846153846154
reached,0.125
ve,-0.009670764081255771
said,0.027899618226787503
lighthearted,0.05263157894736842
Something,0.05263157894736842
if,-0.023213439264678826
ask,0.013076168682576005
You,-0.022257902912667812
could,0.13502350219152778
run,0.05263157894736842
car,0.05263157894736842
haha,0.05263157894736842
JK,0.05263157894736842
If,-0.012164579606440072
happens,0.15
promise,0.15
take,0.15
care,0.006500000000000001
ofâ,0.2
For,-0.008928571428571428
animals,0.125
stressed,0.4
out,-0.01744625388504562
been,-0.02439117246638055
getting,-0.0078125
better,0.10877431456385062
handling,-0.0078125
depression,0.028334612659423712
anxiety,0.03421336206896552
through,0.027734940015315238
work,-0.0078125
My,-0.01829231505430162
job,-0.0078125
therapy,-0.0078125
focus,-0.0078125
on,0.012578615860811207
task,-0.0078125
hand,-0.0078125
not,-0.014049181887366818
negatives,-0.0078125
things,-0.016239872685185185
daughter,-0.0078125
also,0.04724702380952381
helping,-0.0078125
she,0.027176530393835618
has,-0.013216277890466532
chance,-0.0078125
happier,-0.0078125
around,-0.0078125
gone,-0.0078125
having,0.14035087719298245
time,-0.011037329056490264
But,-0.013534156452775776
mostly,0.05263157894736842
silent,0.03028118240807498
what,-0.013865092919721373
concerns,0.10526315789473684
others,0.10526315789473684
No,0.6666666666666666
cares,0.6666666666666666
afterthought,0.06666666666666667
everybodyâ,0.06666666666666667
words,0.06274509803921569
many,0.06666666666666667
times,0.06274509803921569
sometimes,0.08376068376068375
daily,0.06666666666666667
struggle,0.06666666666666667
hold,0.06666666666666667
together,-0.010185185185185186
What,0.4222222222222222
you,-0.024375161977154614
re,0.013112491373360938
hearing,0.05555555555555555
callous,0.05555555555555555
apathetic,0.05555555555555555
completely,0.05555555555555555
consumed,0.05555555555555555
by,0.05555555555555555
suicidal,0.029727160329634062
thoughts,0.02795880066793752
have,-0.025187713497925278
energy,0.05555555555555555
spare,0.05555555555555555
other,0.05555555555555555
Saying,0.2
lot,0.2
nobody,0.2
notices,0.2
heaven,0.01994532943727024
At,0.019417475728155338
very,0.019417475728155338
religious,0.019417475728155338
often,0.019417475728155338
engage,0.019417475728155338
people,-0.015184848629776652
church,0.01979451409180884
conversations,0.019417475728155338
â,0.019417475728155338
thought,0.07841672890216579
might,0.019417475728155338
much,-0.017835298980338775
here,0.019417475728155338
there,0.019417475728155338
didn,0.019417475728155338
believe,0.019417475728155338
suicide,0.027382899356678314
automatic,0.019417475728155338
ticket,0.019417475728155338
hell,0.019417475728155338
thinking,-0.014851966832786525
equivalent,0.019417475728155338
off,0.019417475728155338
were,-0.018370208936375466
dead,0.04854368932038835
beliefs,0.019417475728155338
quite,0.019417475728155338
different,0.019417475728155338
now,-0.010851130552764461
themes,0.019417475728155338
possible,0.019417475728155338
afterlife,0.019417475728155338
definitely,0.019417475728155338
warning,0.019417475728155338
sign,0.019417475728155338
Soon,0.18181818181818182
Heavenly,0.18181818181818182
Father,0.18181818181818182
should,0.4
kill,0.4
Me,0.047619047619047616
joking,0.049886621315192746
killing,0.047619047619047616
way,-0.014199337629788759
honestly,0.047619047619047616
red,0.047619047619047616
flag,0.047619047619047616
dieâ,0.08058608058608059
And,-0.0178905563829381
while,0.047619047619047616
code,0.08058608058608059
In,0.08333333333333333
general,0.08333333333333333
making,-0.024509379509379512
dying,0.08333333333333333
Sometimes,0.08333333333333333
know,0.030576301817196123
serious,0.08333333333333333
well,0.08333333333333333
imagine,0.16666666666666666
living,-0.006666666666666667
seriousness,0.034482758620689655
behind,0.034482758620689655
see,0.034482758620689655
past,0.034482758620689655
problems,0.034482758620689655
It,0.02906443635555309
live,0.034482758620689655
every,-0.013968109929997407
day,-0.023742134165850106
hope,-0.010513036164844407
find,0.034482758620689655
ways,-0.017959770114942528
coping,0.034482758620689655
someone,-0.016128130590339892
who,-0.013865130515743038
depressed,0.07692307692307693
suddenly,0.07692307692307693
start,0.07692307692307693
statements,0.07692307692307693
may,0.07692307692307693
decided,0.07692307692307693
love,-0.018624704087865363
boyfriend,0.058823529411764705
talked,0.013153087321885276
several,0.058823529411764705
he,-0.012192571412597948
knows,0.029008863819500404
bad,-0.010620915032679737
subtle,0.058823529411764705
without,-0.009325681492109038
die,0.058823529411764705
recall,0.012422360248447204
where,0.012576675282589406
emotional,0.012422360248447204
fact,0.012422360248447204
loss,0.012422360248447204
survivors,0.012422360248447204
their,0.012422360248447204
last,0.012578592239535271
goodbye,0.012422360248447204
left,-0.013198757763975156
tell,0.22498274672187715
did,-0.015838509316770187
exactly,0.012422360248447204
spent,0.012576675282589406
whole,0.012422360248447204
week,0.032002833785172435
specific,0.012422360248447204
member,0.012422360248447204
family,0.012422360248447204
each,0.012422360248447204
friends,0.027737598910916362
phone,0.012422360248447204
loved,0.012576675282589406
appreciated,0.012576675282589406
guys,0.012422360248447204
little,-0.013198757763975156
uneasy,0.012422360248447204
nonetheless,0.012422360248447204
Then,0.027362766493201275
stayed,0.012422360248447204
best,0.012576675282589406
friend,0.027362766493201275
him,0.012578592239535271
He,0.027766673977562155
caught,0.012422360248447204
entire,0.012422360248447204
night,0.012422360248447204
emotions,0.012422360248447204
giving,0.012422360248447204
motivation,0.012422360248447204
hang,0.012422360248447204
d,0.012422360248447204
wasn,0.012422360248447204
disappear,0.5
disappearing,0.14285714285714285
suffering,0.14285714285714285
wonder,0.13333333333333333
disappearâ,0.13333333333333333
Would,0.13333333333333333
notice,0.13333333333333333
mind,0.2222222222222222
haven,0.07692307692307693
far,0.07692307692307693
first,0.07692307692307693
brain,0.07692307692307693
jumps,0.07692307692307693
ending,0.07692307692307693
good,-0.017636986301369863
grandma,0.0273972602739726
supports,0.0273972602739726
So,0.0273972602739726
these,-0.012366818873668188
begin,0.0273972602739726
fall,0.0273972602739726
into,-0.012663268556865243
deeper,0.0273972602739726
state,0.0273972602739726
her,0.028147870144492403
mother,0.0273972602739726
knew,0.0273972602739726
comfort,0.0273972602739726
give,0.0273972602739726
space,0.0273972602739726
really,0.0273972602739726
close,0.0273972602739726
school,0.027890298160568434
next,0.03194103194103194
come,0.02702702702702703
She,0.02702702702702703
asked,0.02702702702702703
why,0.02702702702702703
Because,0.02702702702702703
anymore,0.02702702702702703
had,-0.023666987369061535
planning,0.02702702702702703
attempt,0.02702702702702703
weekend,0.02702702702702703
planned,0.02702702702702703
found,-0.014864864864864864
pregnant,0.02702702702702703
son,0.02702702702702703
saved,0.02702702702702703
5,0.02702702702702703
years,0.02702702702702703
old,0.02702702702702703
started,0.02702702702702703
year,0.02702702702702703
makes,-0.014091680814940577
happy,-0.024329157507312512
blessed,-0.025
Iâ,-0.014081817446842913
glad,-0.025
simple,-0.025
turn,-0.025
hectic,-0.025
fairy,-0.025
tale,-0.025
Thanks,-0.022000000000000002
smile,-0.023809523809523808
special,-0.023809523809523808
person,-0.012846661567660973
world,-0.023809523809523808
thank,-0.08333333333333333
made,-0.014177365508278998
sufferings,-0.027777777777777776
away,-0.027777777777777776
filled,-0.027777777777777776
heart,-0.027777777777777776
unconditional,-0.027777777777777776
amazing,-0.02
worth,-0.02
effortlessly,-0.02
wish,-0.017857142857142856
your,-0.017928004535147393
touch,-0.017857142857142856
source,-0.017857142857142856
infinite,-0.017857142857142856
pleasure,-0.017857142857142856
exhausting,-0.017857142857142856
option,-0.013888888888888888
days,-0.018199233716475097
remember,-0.013888888888888888
sweet,-0.013888888888888888
efforts,-0.013888888888888888
art,-0.017857142857142856
then,-0.016741071428571428
Pablo,-0.017857142857142856
Picasso,-0.017857142857142856
difference,-0.012832497662955723
works,-0.017857142857142856
personal,-0.017857142857142856
such,-0.016129032258064516
charming,-0.016129032258064516
personality,-0.016129032258064516
sad,-0.016129032258064516
feels,-0.016129032258064516
God,-0.011627906976744186
wasnâ,-0.012168739859383451
kind,-0.011627906976744186
wouldnâ,-0.012168739859383451
sent,-0.011627906976744186
particularly,-0.011627906976744186
fond,-0.011627906976744186
send,-0.011627906976744186
almost,-0.011627906976744186
forgotten,-0.011627906976744186
happiness,-0.01777646560077519
mornings,-0.017241379310344827
beautiful,-0.017241379310344827
bright,-0.017241379310344827
no,-0.017241379310344827
dream,-0.0166015625
full,-0.0166015625
realized,-0.015625
comes,-0.015625
Now,-0.015625
i,-0.045454545454545456
message,-0.015550239234449762
between,-0.012790005948839977
am,-0.012790005948839977
7,-0.012790005948839977
happiest,-0.012195121951219513
same,-0.012195121951219513
understand,-0.012195121951219513
sweetest,-0.020833333333333332
cute,-0.020833333333333332
yours,-0.020833333333333332
too,-0.018055555555555554
dear,-0.020833333333333332
list,-0.013157894736842105
unhappy,-0.013157894736842105
came,-0.013157894736842105
blank,-0.013157894736842105
paper,-0.013157894736842105
sending,-0.013157894736842105
youâ,-0.013157894736842105
normal,-0.016666666666666666
checkup,-0.016666666666666666
today,-0.016666666666666666
blood,-0.016666666666666666
sample,-0.016666666666666666
contains,-0.016666666666666666
fault,-0.016666666666666666
Luckily,-0.022727272727272728
donâ,-0.022727272727272728
pay,-0.022727272727272728
bankrupt,-0.022727272727272728
already,-0.022727272727272728
